AGUANG,刘云雨,-,AG e-Sports Club A,China,-,2004,1
ALTON ANG,洪麒越,-,ByColin,Malaysia,-,2000,2
B,บี,-,Dolmodel,Thai,-,2003,3
BIANURA,-,-,Stage Management Indonesia,Indonesia,-,1997,4
DAVID,卫轩汶,-,Hearvest,China,-,2004,5
DONGDONG,东诘翔 ,-,Stardust IR,China,-,2000,6
DORN,ดอร์น ,-,Handsome Entertainment,Thai,-,2001,7
DUY,Tường Duy,-,BN Entertainment,Vietnam,-,1999,8
EARTH,เอิร์ท,-,YYDS,Thai,-,-,9
GORDON,-,-,Down To Top,Canada,-,2003,10
GOU YI,苟一,-,Individual Trainees,China,-,1999,11
GUANMING,苏冠铭,-,Individual Trainees,China,-,2003,12
HIKARI,稲吉ひかり,-,PONY CANYON,Japan,-,2000,13
HIKARU,ヴァサイェガ光,-,DREAM BOY,Japan,-,1999,14
HONG JIN,-,-,Carbon,Malaysia,-,2003,15
HU YETAO,胡烨韬,-,MISTER,China,-,2000,16
IVAN,付世杰,-,Avex,China,-,-,17
JACKSON,黄嘉亨,-,S.M.G,Malaysia,-,2003,18
JELLY,张国栋,-,Stardust IR,China,-,1997,19
JIAHAO,杨佳豪,-,JinJin Century,China,-,-,20
JINGYU,邱镜宇,-,Miyu,China,-,2000,21
JUNHAN,高浚涵,-,Dust Music,China,-,1999,22
KAO,เก้า,-,Rocktank Media,Thai,-,2008,23
KEVIN,肖凯文,-,ASE,China,-,2001,24
KK,-,-,Speakwell,China,-,2001,25
KOHI,이정현,-,Insight Entertainment,South Korea,-,2002,26
KOSHIN,小松倖真,-,Avex,Japan,-,2001,27
LIZI,罗卓滨,-,CHUYING,China,-,-,28
LU JUNXI,陆俊熙,-,Joicy Media,China,-,2004,29
LYU,児玉龍亮,-,DREAM BOY,Japan,-,2003,30
MYST,-,-,Liangheng,USA,-,2008,31
NINJA,นินจา,-,The Real One,Thai,-,2003,32
OMAR,唐奥玛,-,Youhug Media,China,-,2009,33
PEANUT,พีนัท,-,HEADLINER Thailand,Thai,-,2001,34
PEAT,พีท,-,Individual Trainees,Thai,-,2001,35
PLENGTHAI,เพลงไท,-,Individual Trainees,Thai,-,2000,36
PRAY,杨浦睿,-,YX media,China,-,1999,37
REXY,黄奕翔,-,SYMX,China,-,-,38
RICKY,-,-,Stardust IR,China,-,1999,39
RYAN WINTER,-,-,Stage Management Indonesia,Indonesia,-,2006,40
SENA,澤井星名,-,Sony Music Entertainment,Japan,-,-,41
SHEN,申义晟,-,O-Plan,China,-,2006,42
SHOYA,福田翔也,-,DREAM BOY,Japan,-,1997,43
SICHEN,王思晨,-,Individual Trainees,China,-,2004,44
SMART,สมาร์ท,-,HEADLINER Thailand,Thai,-,1999,45
SUNNY,叶竞谦,-,Antplla,Malaysia,-,2003,46
TADALEE,ธาดา,-,Brie Entertainment,Thai,-,2001,47
TATA,-,-,Tata,Thai,-,-,48
THI-O,ไทโอ,-,Individual Trainees,Thai,-,2005,49
TIAN QI,黄天崎,-,Individual Trainees,China,-,2004,50
TZI XUAN,翁子轩,-,Individual Trainees,China,-,2005,51
WANXIN,万鑫,-,ASE,China,-,2003,52
WEIZHI,覃炜致,-,ASE,China,-,1999,53
WHYLUCUS,黄宏溢,-,WHYLUCUS PROD,Singapore,-,-,54
WUXUN,武勋,-,L.TAO Entertainment,China,-,2000,55
XIAONIAN,张铠鹏,-,YX media,China,-,2004,56
XIONG,林锦雄,-,Sense Stage,China,-,2002,57
XIN,陈鼎新,-,NEXI Media,China,-,2004,58
YAO ZIHAO,姚梓豪,-,Top Class Entertainment,China,-,2005,59
YUCHEN,曹屿辰,-,ICONLAND,China,-,2003,60
